threshold,auc,tp,fp,tn,fn,accuracy,precision,recall,fpr
0.874,0.5437626881779355,9961.0,2833.0,27850.0,45422.0,0.4393,0.7786,0.1799,0.0923
0.875,0.5435271025886512,9897.0,2812.0,27871.0,45486.0,0.4388,0.7787,0.1787,0.0916
0.876,0.5433414864991941,9862.0,2804.0,27879.0,45521.0,0.4385,0.7786,0.1781,0.0914
0.877,0.5432019145079976,9796.0,2776.0,27907.0,45587.0,0.4381,0.7792,0.1769,0.0905
0.878,0.5431195796441437,9758.0,2760.0,27923.0,45625.0,0.4378,0.7795,0.1762,0.09
0.879,0.5429775693197801,9717.0,2746.0,27937.0,45666.0,0.4375,0.7797,0.1755,0.0895
0.88,0.5428047280717743,9678.0,2735.0,27948.0,45705.0,0.4372,0.7797,0.1747,0.0891
0.881,0.5424464967075068,9595.0,2711.0,27972.0,45788.0,0.4365,0.7797,0.1732,0.0884
0.882,0.5423945408209041,9573.0,2702.0,27981.0,45810.0,0.4363,0.7799,0.1729,0.0881
0.883,0.5423337828664015,9541.0,2688.0,27995.0,45842.0,0.4361,0.7802,0.1723,0.0876
0.884,0.5424948005377237,9474.0,2641.0,28042.0,45909.0,0.4359,0.782,0.1711,0.0861
0.885,0.5422862990717264,9413.0,2620.0,28063.0,45970.0,0.4354,0.7823,0.17,0.0854
0.886,0.5421084025561761,9359.0,2601.0,28082.0,46024.0,0.435,0.7825,0.169,0.0848
0.887,0.5420910243935716,9330.0,2586.0,28097.0,46053.0,0.4349,0.783,0.1685,0.0843
0.888,0.5419723513921395,9297.0,2575.0,28108.0,46086.0,0.4346,0.7831,0.1679,0.0839
0.889,0.5416665278608659,9218.0,2550.0,28133.0,46165.0,0.434,0.7833,0.1664,0.0831
0.89,0.541591234651332,9188.0,2538.0,28145.0,46195.0,0.4338,0.7836,0.1659,0.0827
0.891,0.54121562512446,9076.0,2499.0,28184.0,46307.0,0.4329,0.7841,0.1639,0.0814
0.892,0.5410989385098035,9036.0,2484.0,28199.0,46347.0,0.4326,0.7844,0.1632,0.081
0.893,0.5409430708499956,8970.0,2457.0,28226.0,46413.0,0.4322,0.785,0.162,0.0801
0.894,0.5408045813527923,8933.0,2445.0,28238.0,46450.0,0.4319,0.7851,0.1613,0.0797
0.895,0.5406009091811438,8896.0,2437.0,28246.0,46487.0,0.4316,0.785,0.1606,0.0794
0.896,0.5404139846244977,8841.0,2418.0,28265.0,46542.0,0.4311,0.7852,0.1596,0.0788
0.897,0.5403999013158576,8825.0,2410.0,28273.0,46558.0,0.431,0.7855,0.1593,0.0785
0.898,0.5403298893470638,8801.0,2401.0,28282.0,46582.0,0.4309,0.7857,0.1589,0.0783
0.899,0.5401070785992309,8733.0,2377.0,28306.0,46650.0,0.4304,0.786,0.1577,0.0775
0.9,0.5401636851789717,8714.0,2363.0,28320.0,46669.0,0.4303,0.7867,0.1573,0.077
0.901,0.5397477647409703,8621.0,2337.0,28346.0,46762.0,0.4295,0.7867,0.1557,0.0762
0.902,0.5394943490426904,8546.0,2311.0,28372.0,46837.0,0.4289,0.7871,0.1543,0.0753
0.903,0.53933229624936,8510.0,2301.0,28382.0,46873.0,0.4286,0.7872,0.1537,0.075
0.904,0.5393565374650738,8482.0,2284.0,28399.0,46901.0,0.4285,0.7879,0.1532,0.0744
0.905,0.5390738252835358,8420.0,2267.0,28416.0,46963.0,0.428,0.7879,0.152,0.0739
0.906,0.5389305064919837,8359.0,2242.0,28441.0,47024.0,0.4276,0.7885,0.1509,0.0731
0.907,0.5387217790527908,8307.0,2226.0,28457.0,47076.0,0.4272,0.7887,0.15,0.0725
0.908,0.5385236140950779,8267.0,2216.0,28467.0,47116.0,0.4268,0.7886,0.1493,0.0722
0.909,0.5384555885130596,8236.0,2203.0,28480.0,47147.0,0.4266,0.789,0.1487,0.0718
0.91,0.5382706503431892,8174.0,2180.0,28503.0,47209.0,0.4261,0.7895,0.1476,0.071
0.911,0.5379655047315024,8068.0,2140.0,28543.0,47315.0,0.4254,0.7904,0.1457,0.0697
0.912,0.5378177612200077,8039.0,2133.0,28550.0,47344.0,0.4251,0.7903,0.1452,0.0695
0.913,0.5376609896674174,8009.0,2126.0,28557.0,47374.0,0.4249,0.7902,0.1446,0.0693
0.914,0.5375548655342409,7981.0,2117.0,28566.0,47402.0,0.4246,0.7904,0.1441,0.069
0.915,0.5373998543952306,7953.0,2111.0,28572.0,47430.0,0.4244,0.7902,0.1436,0.0688
0.916,0.5371893665424577,7899.0,2094.0,28589.0,47484.0,0.424,0.7905,0.1426,0.0682
0.917,0.5370997640510881,7862.0,2079.0,28604.0,47521.0,0.4237,0.7909,0.142,0.0678
0.918,0.5366565335166043,7775.0,2058.0,28625.0,47608.0,0.4229,0.7907,0.1404,0.0671
0.919,0.5363768902158349,7735.0,2053.0,28630.0,47648.0,0.4225,0.7903,0.1397,0.0669
0.92,0.5363123854609766,7708.0,2042.0,28641.0,47675.0,0.4223,0.7906,0.1392,0.0666
0.921,0.5360275082914524,7588.0,1993.0,28690.0,47795.0,0.4215,0.792,0.137,0.065
0.922,0.5359649899233697,7554.0,1978.0,28705.0,47829.0,0.4213,0.7925,0.1364,0.0645
0.923,0.5359059923824471,7524.0,1965.0,28718.0,47859.0,0.4211,0.7929,0.1359,0.064
0.924,0.535729630307281,7481.0,1952.0,28731.0,47902.0,0.4207,0.7931,0.1351,0.0636
0.925,0.5356325342152003,7454.0,1943.0,28740.0,47929.0,0.4205,0.7932,0.1346,0.0633
0.926,0.5355090319194196,7397.0,1919.0,28764.0,47986.0,0.4202,0.794,0.1336,0.0625
0.927,0.5351646578905963,7339.0,1908.0,28775.0,48044.0,0.4196,0.7937,0.1325,0.0622
0.928,0.5350986186953537,7301.0,1891.0,28792.0,48082.0,0.4194,0.7943,0.1318,0.0616
0.929,0.5350305931133355,7270.0,1878.0,28805.0,48113.0,0.4192,0.7947,0.1313,0.0612
0.93,0.5349064128979676,7240.0,1869.0,28814.0,48143.0,0.4189,0.7948,0.1307,0.0609
0.931,0.5343881151271453,7114.0,1831.0,28852.0,48269.0,0.4179,0.7953,0.1285,0.0597
0.932,0.5341034165588316,7059.0,1818.0,28865.0,48324.0,0.4174,0.7952,0.1275,0.0593
0.933,0.5340030256127866,7019.0,1802.0,28881.0,48364.0,0.4171,0.7957,0.1267,0.0587
0.934,0.5338266635376205,6976.0,1789.0,28894.0,48407.0,0.4168,0.7959,0.126,0.0583
0.935,0.5335923864155251,6932.0,1779.0,28904.0,48451.0,0.4164,0.7958,0.1252,0.058
0.936,0.533553657316765,6888.0,1757.0,28926.0,48495.0,0.4161,0.7968,0.1244,0.0573
0.937,0.53325090266626,6831.0,1744.0,28939.0,48552.0,0.4156,0.7966,0.1233,0.0568
0.938,0.5332011591396286,6793.0,1726.0,28957.0,48590.0,0.4154,0.7974,0.1227,0.0563
0.939,0.5330012337683359,6751.0,1715.0,28968.0,48632.0,0.415,0.7974,0.1219,0.0559
0.94,0.532902377262675,6722.0,1705.0,28978.0,48661.0,0.4148,0.7977,0.1214,0.0556
0.941,0.5322957854676719,6579.0,1663.0,29020.0,48804.0,0.4136,0.7982,0.1188,0.0542
0.942,0.5322330411263937,6554.0,1653.0,29030.0,48829.0,0.4135,0.7986,0.1183,0.0539
0.943,0.5319197239944087,6485.0,1634.0,29049.0,48898.0,0.4129,0.7987,0.1171,0.0533
0.944,0.5317596575878539,6442.0,1620.0,29063.0,48941.0,0.4125,0.7991,0.1163,0.0528
0.945,0.5316053243684306,6387.0,1599.0,29084.0,48996.0,0.4121,0.7998,0.1153,0.0521
0.946,0.5314379903343602,6345.0,1586.0,29097.0,49038.0,0.4118,0.8,0.1146,0.0517
0.947,0.5314208381449514,6307.0,1566.0,29117.0,49076.0,0.4116,0.8011,0.1139,0.051
0.948,0.5313131795713907,6268.0,1551.0,29132.0,49115.0,0.4113,0.8016,0.1132,0.0505
0.949,0.5310716348217794,6225.0,1542.0,29141.0,49158.0,0.4109,0.8015,0.1124,0.0503
0.95,0.5309293985242205,6193.0,1533.0,29150.0,49190.0,0.4106,0.8016,0.1118,0.05
0.951,0.5302505824004522,6042.0,1491.0,29192.0,49341.0,0.4094,0.8021,0.1091,0.0486
0.952,0.5299335184681117,5978.0,1475.0,29208.0,49405.0,0.4088,0.8021,0.1079,0.0481
0.953,0.5298820145279002,5938.0,1456.0,29227.0,49445.0,0.4086,0.8031,0.1072,0.0475
0.954,0.5298049609047865,5906.0,1443.0,29240.0,49477.0,0.4084,0.8036,0.1066,0.047
0.955,0.5297078648127056,5879.0,1434.0,29249.0,49504.0,0.4082,0.8039,0.1062,0.0467
0.956,0.5292230148999034,5791.0,1415.0,29268.0,49592.0,0.4074,0.8036,0.1046,0.0461
0.957,0.5290541464254486,5738.0,1396.0,29287.0,49645.0,0.407,0.8043,0.1036,0.0455
0.958,0.5289427410515322,5704.0,1384.0,29299.0,49679.0,0.4067,0.8047,0.103,0.0451
0.959,0.5289306441296678,5681.0,1372.0,29311.0,49702.0,0.4066,0.8055,0.1026,0.0447
0.96,0.528922294008159,5653.0,1357.0,29326.0,49730.0,0.4064,0.8064,0.1021,0.0442
0.961,0.5280743834367405,5458.0,1301.0,29382.0,49925.0,0.4048,0.8075,0.0986,0.0424
0.962,0.5279000077483501,5408.0,1284.0,29399.0,49975.0,0.4044,0.8081,0.0976,0.0418
0.963,0.527710870831733,5369.0,1274.0,29409.0,50014.0,0.4041,0.8082,0.0969,0.0415
0.964,0.5276664085458416,5337.0,1259.0,29424.0,50046.0,0.4039,0.8091,0.0964,0.041
0.965,0.527509862966447,5298.0,1247.0,29436.0,50085.0,0.4036,0.8095,0.0957,0.0406
