threshold,auc,tp,fp,tn,fn,accuracy,precision,recall,fpr
0.439,0.5284398741899176,53712.0,28012.0,2671.0,1671.0,0.6551,0.6572,0.9698,0.9129
0.44,0.5289915359615194,53663.0,27951.0,2732.0,1720.0,0.6553,0.6575,0.9689,0.911
0.441,0.5294511569085848,53602.0,27889.0,2794.0,1781.0,0.6553,0.6578,0.9678,0.9089
0.442,0.5301294372287211,53558.0,27823.0,2860.0,1825.0,0.6555,0.6581,0.967,0.9068
0.443,0.53083326723176,53506.0,27751.0,2932.0,1877.0,0.6558,0.6585,0.9661,0.9044
0.444,0.5315192671258033,53443.0,27674.0,3009.0,1940.0,0.6559,0.6588,0.965,0.9019
0.445,0.5317522831526951,53393.0,27632.0,3051.0,1990.0,0.6558,0.659,0.9641,0.9006
0.446,0.5322259874084005,53348.0,27578.0,3105.0,2035.0,0.6559,0.6592,0.9633,0.8988
0.447,0.5329875064851732,53306.0,27508.0,3175.0,2077.0,0.6563,0.6596,0.9625,0.8965
0.448,0.5335316746560638,53267.0,27453.0,3230.0,2116.0,0.6564,0.6599,0.9618,0.8947
0.449,0.5345178122662345,53221.0,27367.0,3316.0,2162.0,0.6569,0.6604,0.961,0.8919
0.45,0.5349604596251017,53187.0,27321.0,3362.0,2196.0,0.657,0.6606,0.9603,0.8904
0.451,0.5356803593235563,53144.0,27253.0,3430.0,2239.0,0.6573,0.661,0.9596,0.8882
0.452,0.536255584391285,53094.0,27190.0,3493.0,2289.0,0.6575,0.6613,0.9587,0.8862
0.453,0.5369067805881345,53047.0,27124.0,3559.0,2336.0,0.6577,0.6617,0.9578,0.884
0.454,0.5373769640166797,52998.0,27068.0,3615.0,2385.0,0.6578,0.6619,0.9569,0.8822
0.455,0.537570347052029,52940.0,27024.0,3659.0,2443.0,0.6576,0.662,0.9559,0.8807
0.456,0.5382310232363653,52876.0,26948.0,3735.0,2507.0,0.6578,0.6624,0.9547,0.8783
0.457,0.5386325031633055,52823.0,26894.0,3789.0,2560.0,0.6578,0.6626,0.9538,0.8765
0.458,0.5392889806008949,52782.0,26831.0,3852.0,2601.0,0.658,0.663,0.953,0.8745
0.459,0.5399218947423575,52742.0,26770.0,3913.0,2641.0,0.6583,0.6633,0.9523,0.8725
0.46,0.5403447256054533,52704.0,26723.0,3960.0,2679.0,0.6584,0.6636,0.9516,0.8709
0.461,0.5409510075700202,52643.0,26652.0,4031.0,2740.0,0.6585,0.6639,0.9505,0.8686
0.462,0.541312176585831,52609.0,26611.0,4072.0,2774.0,0.6586,0.6641,0.9499,0.8673
0.463,0.5436474759795333,52337.0,26317.0,4366.0,3046.0,0.6588,0.6654,0.945,0.8577
0.464,0.544536065551232,52282.0,26232.0,4451.0,3101.0,0.6592,0.6659,0.944,0.8549
0.465,0.5451954332683797,52198.0,26145.0,4538.0,3185.0,0.6592,0.6663,0.9425,0.8521
0.466,0.5459785292545037,52162.0,26077.0,4606.0,3221.0,0.6596,0.6667,0.9418,0.8499
0.467,0.5467237526626653,52120.0,26008.0,4675.0,3263.0,0.6599,0.6671,0.9411,0.8476
0.468,0.5474185546246086,52067.0,25936.0,4747.0,3316.0,0.6601,0.6675,0.9401,0.8453
0.469,0.5480037116262154,51982.0,25853.0,4830.0,3401.0,0.6601,0.6678,0.9386,0.8426
0.47,0.5489832595284574,51910.0,25753.0,4930.0,3473.0,0.6604,0.6684,0.9373,0.8393
0.471,0.5497348940433371,51829.0,25662.0,5021.0,3554.0,0.6605,0.6688,0.9358,0.8364
0.472,0.5507589516034554,51715.0,25536.0,5147.0,3668.0,0.6607,0.6694,0.9338,0.8323
0.473,0.5514178673742118,51649.0,25459.0,5224.0,3734.0,0.6608,0.6698,0.9326,0.8297
0.474,0.5520620219167413,51594.0,25389.0,5294.0,3789.0,0.661,0.6702,0.9316,0.8275
0.475,0.5527469393167914,51502.0,25296.0,5387.0,3881.0,0.661,0.6706,0.9299,0.8244
0.476,0.5533025738619445,51439.0,25227.0,5456.0,3944.0,0.6611,0.6709,0.9288,0.8222
0.477,0.554071360566233,51396.0,25156.0,5527.0,3987.0,0.6614,0.6714,0.928,0.8199
0.478,0.5554402914735507,51248.0,24990.0,5693.0,4135.0,0.6616,0.6722,0.9253,0.8145
0.479,0.555762957363797,51161.0,24922.0,5761.0,4222.0,0.6614,0.6724,0.9238,0.8122
0.48,0.5568619035590431,51021.0,24777.0,5906.0,4362.0,0.6614,0.6731,0.9212,0.8075
0.481,0.5576468073307321,50913.0,24669.0,6014.0,4470.0,0.6614,0.6736,0.9193,0.804
0.482,0.5587056685880444,50783.0,24532.0,6151.0,4600.0,0.6615,0.6743,0.9169,0.7995
0.483,0.5594850651457979,50678.0,24426.0,6257.0,4705.0,0.6615,0.6748,0.915,0.7961
